0.554	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.900	0.260	0.100	0.100	0.500	0.100	0.100	0.100	0.900	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.628	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.420	0.420	0.100	0.500	0.500	0.500	0.100	0.500	0.260	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.638	0.500	0.260	0.100	0.100	0.100	0.500	0.100	0.633	0.420	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.829	0.300	0.420	0.100	0.100	0.500	0.500	0.100	0.367	0.260	0.420	0.580	0.500	0.100	0.900	0.500	0.100	0.500	0.260	0.633	0.633	0.100	0.100	0.500	0.500	0.000	0.367	0.367	
0.584	0.300	0.580	0.200	0.500	0.900	0.500	0.100	0.100	0.260	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.602	0.100	0.260	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.628	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.420	0.580	0.500	0.100	0.500	0.500	0.100	0.500	0.260	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.595	0.500	0.260	0.100	0.100	0.100	0.500	0.100	0.367	0.580	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.646	0.500	0.260	0.100	0.100	0.100	0.100	0.500	0.100	0.580	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.545	0.300	0.420	0.300	0.900	0.900	0.100	0.100	0.367	0.100	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
0.675	0.300	0.260	0.100	0.100	0.100	0.500	0.100	0.900	0.260	0.260	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.367	0.100	0.100	0.100	0.100	0.100	0.000	0.100	0.100	
